season,episode,writter,rol
9,24,Scott Silveri,Writer
9,24,Marta Kauffman,Writer
9,24,David Crane,Writer
10,1,Andrew Reich,Writer
10,1,Ted Cohen,Writer
10,2,Sherry Bilsing-Graham,Writer
10,2,Ellen Plummer,Writer
10,3,Brian Buckner,Writer
10,4,Robert Carlock,Writer
10,5,Dana Klein Borkow,Writer
10,6,Sebastian Jones,Writer
10,7,Mark Kunerth,Writer
10,8,Shana Goldberg-Meehan,Writer
10,9,Scott Silveri,Writer
10,10,Doty Abrams,Writer
10,11,David Crane,Writer
10,11,Marta Kauffman,Writer
10,12,Robert Carlock,Writer
10,12,Dana Klein Borkow,Writer
10,13,Sherry Bilsing-Graham,Writer
10,13,Ellen Plummer,Writer
10,16,Andrew Reich,Writer
10,16,Ted Cohen,Writer
10,17,Marta Kauffman,Writer
10,17,David Crane,Writer
10,18,Marta Kauffman,Writer
10,18,David Crane,Writer
